country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","11-07-2026 18:00:00",28.5627763,77.1180053,PM10,61,320,143
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,NO2,3,28,14
India,Delhi,Delhi,"DTU, Delhi - CPCB","11-07-2026 18:00:00",28.7500499,77.1112615,SO2,NA,NA,NA
India,Delhi,Delhi,"ITO, Delhi - CPCB","11-07-2026 18:00:00",28.628624,77.24106,PM2.5,17,79,54
India,Delhi,Delhi,"ITO, Delhi - CPCB","11-07-2026 18:00:00",28.628624,77.24106,SO2,8,26,17
India,Delhi,Delhi,"ITO, Delhi - CPCB","11-07-2026 18:00:00",28.628624,77.24106,CO,39,47,43
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,CO,17,34,21
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-07-2026 18:00:00",28.563262,77.186937,OZONE,6,32,22
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","11-07-2026 18:00:00",28.6573814,77.1585447,OZONE,36,72,56
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-07-2026 18:00:00",28.815329,77.15301,NO2,11,34,21
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-07-2026 18:00:00",28.815329,77.15301,NH3,12,28,17
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-07-2026 18:00:00",28.815329,77.15301,OZONE,6,9,8
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","11-07-2026 18:00:00",28.7256504,77.2011573,PM10,29,279,126
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","11-07-2026 18:00:00",28.7256504,77.2011573,NO2,4,59,21
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","11-07-2026 18:00:00",28.7256504,77.2011573,NH3,NA,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","11-07-2026 18:00:00",28.7256504,77.2011573,OZONE,34,138,77
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.611281,77.237738,OZONE,8,15,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.710508,77.249485,NO2,1,12,6
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-07-2026 18:00:00",28.56789,77.250515,NH3,7,13,8
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","11-07-2026 18:00:00",28.56789,77.250515,CO,4,7,5
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.58028,77.233829,NO2,2,53,11
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.58028,77.233829,NH3,26,49,34
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-07-2026 18:00:00",28.58028,77.233829,OZONE,16,21,19
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","11-07-2026 18:00:00",28.6811736,77.3025234,SO2,6,19,14
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","11-07-2026 18:00:00",28.6811736,77.3025234,CO,41,54,47
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","11-07-2026 18:00:00",28.531346,77.190156,NO2,15,127,49
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","11-07-2026 18:00:00",28.531346,77.190156,SO2,0,46,12
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","11-07-2026 18:00:00",28.531346,77.190156,CO,16,34,22
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","11-07-2026 18:00:00",28.498571,77.26484,SO2,7,11,9
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","11-07-2026 18:00:00",28.498571,77.26484,OZONE,18,30,26
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.647622,77.315809,PM2.5,29,301,146
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.647622,77.315809,PM10,106,485,318
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.647622,77.315809,SO2,8,24,16
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-07-2026 18:00:00",28.695381,77.181665,OZONE,4,8,7
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-07-2026 18:00:00",28.5710274,77.0719006,PM2.5,10,85,37
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","11-07-2026 18:00:00",28.5710274,77.0719006,NO2,10,43,19
India,Delhi,Delhi,"Pusa, Delhi - IITM","11-07-2026 18:00:00",28.63611,77.173332,PM10,44,304,136
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-07-2026 18:00:00",28.530785,77.271255,OZONE,14,27,22
India,Delhi,Delhi,"Rohini, Delhi - DPCC","11-07-2026 18:00:00",28.732528,77.11992,NO2,9,44,20
